step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
501,52,4.961538461538462,2591.0,67,0.754744774866881,70,444.72
511,51,4.529411764705882,2400.0,71,0.7834560013134783,65,420.47
521,51,5.1568627450980395,2367.0,74,0.7710969717462561,60,412.51
531,52,6.25,2744.0,74,0.7170287110300931,67,461.6
541,52,5.9423076923076925,2814.0,76,0.7908018074685921,70,473.42
551,49,6.795918367346939,2620.0,80,0.7364629294008127,71,447.38
561,48,8.1875,2633.0,83,0.6520749761096682,71,431.8
571,50,7.66,3038.0,83,0.674,84,473.58
581,50,6.82,2814.0,87,0.6951249999999999,91,443.37
591,50,6.5,2610.0,91,0.7643904811877306,84,414.2
601,52,6.826923076923077,2744.0,93,0.7615384615384616,86,424.89
611,53,7.962264150943396,3108.0,93,0.749056603773585,91,474.55
621,57,6.56140350877193,3185.0,95,0.8179597519924152,93,491.62
631,56,6.607142857142857,2863.0,100,0.8089729370008873,91,456.1
641,57,6.614035087719298,2875.0,103,0.7974895179213207,84,457.47
651,57,5.754385964912281,3084.0,104,0.7543859649122808,92,496.42
661,57,4.543859649122807,2829.0,108,0.7216483626918726,94,475.65
671,54,4.333333333333333,2621.0,112,0.7851851851851852,83,454.72
681,54,5.444444444444445,2756.0,114,0.7166569504793192,81,468.58
691,56,7.464285714285714,3061.0,115,0.6048469387755102,89,495.12
701,55,7.454545454545454,2832.0,119,0.6676591457271089,97,466.04
711,54,7.722222222222222,2684.0,123,0.6745855444321373,106,436.58
721,55,7.890909090909091,2983.0,124,0.6952531142782206,114,464.42
731,58,7.620689655172414,3238.0,125,0.6015236097170605,126,491.15
741,58,7.172413793103448,3329.0,127,0.7108229043305757,137,503.14
751,57,7.140350877192983,2890.0,133,0.7240196817431389,127,442.36
761,59,7.9491525423728815,3176.0,134,0.6745755570541488,135,473.8
771,59,10.338983050847459,3622.0,134,0.6372880518872953,143,523.27
781,58,11.068965517241379,3773.0,136,0.6793526081160369,165,534.13
791,58,10.89655172413793,3491.0,141,0.7275862068965517,165,493.78
801,58,10.60344827586207,3579.0,144,0.6546428772956739,181,486.76
811,60,9.65,4046.0,144,0.6400000000000001,208,535.21
821,60,8.166666666666666,3835.0,148,0.6795768112856598,208,510.93
831,60,7.7,3636.0,152,0.7186069651741293,202,488.62
841,60,8.733333333333333,3780.0,154,0.7083409475942096,199,504.59
851,60,10.4,4239.0,154,0.6616660203048553,204,557.84
861,58,10.60344827586207,4173.0,157,0.6601839716833168,214,553.39
871,56,10.482142857142858,3607.0,163,0.675924169455478,192,490.63
881,56,10.625,3798.0,165,0.6517614279415104,203,498.86
891,59,9.830508474576272,4116.0,166,0.5966101694915256,229,526.22
901,58,9.03448275862069,3839.0,170,0.6459921399709347,225,499.61
911,58,8.89655172413793,3605.0,174,0.6825890333521765,205,474.24
921,59,10.542372881355933,3559.0,177,0.6745762711864407,192,467.64
931,60,12.533333333333333,3988.0,177,0.6833333333333333,197,519.11
941,60,12.033333333333333,4064.0,179,0.7096308105767745,207,534.17
951,58,11.913793103448276,3669.0,184,0.6672519923586054,198,492.12
961,58,12.172413793103448,3820.0,186,0.6379310344827588,221,502.35
971,56,12.553571428571429,3816.0,189,0.5488139068528352,243,490.15
981,58,12.137931034482758,3766.0,192,0.5633732105646452,255,475.39
991,58,12.810344827586206,3593.0,196,0.6138873411141743,251,443.48
1001,59,14.372881355932204,3911.0,197,0.6002858691996776,255,470.05
1011,60,16.633333333333333,4371.0,197,0.5645529054395773,263,513.89
1021,60,16.016666666666666,4444.0,199,0.6147651320007864,286,522.45
1031,60,14.416666666666666,3952.0,204,0.7039199561403506,266,478.89
1041,60,13.733333333333333,4086.0,206,0.6696323340799524,278,491.55
1051,60,12.816666666666666,4571.0,206,0.61,315,538.78
1061,59,12.254237288135593,4509.0,209,0.5609005738481259,330,528.56
1071,60,12.9,4453.0,212,0.58319442823339,318,515.78
1081,58,15.689655172413794,4451.0,215,0.5653388822829964,312,500.45
1091,58,18.53448275862069,4948.0,215,0.4913782907508491,321,540.47
1101,59,18.271186440677965,5030.0,217,0.5917002666540394,328,542.78
1111,58,18.775862068965516,4327.0,223,0.514959795955776,299,470.49
1121,59,18.864406779661017,4238.0,226,0.5642302995220918,292,453.59
1131,60,18.883333333333333,4702.0,226,0.5649465924287499,329,496.21
1141,60,21.133333333333333,4965.0,227,0.5216578732588196,347,516.69
1151,60,25.333333333333332,4869.0,230,0.4375519941277219,333,494.56
1161,60,30.55,4889.0,233,0.3966657756214784,312,470.84
1171,60,36.35,5387.0,233,0.35333333333333333,321,499.82
1181,59,40.3728813559322,5482.0,235,0.34119892191089485,327,489.26
1191,60,43.916666666666664,5796.0,236,0.29,346,493.88
1201,59,49.610169491525426,5945.0,238,0.25084745762711863,358,476.46
1211,59,56.57627118644068,6131.0,240,0.16440677966101694,370,453.18
1221,59,64.7457627118644,6661.0,240,0.15254237288135594,377,465.55
1231,60,72.15,7191.0,240,0.105,381,475.32
1241,60,80.98333333333333,7736.0,240,0.11666666666666667,382,483.88
1251,60,89.9,8297.0,240,0.08666666666666667,385,491.5
1261,60,98.56666666666666,8882.0,240,0.06666666666666667,390,497.34
1271,60,107.95,9472.0,240,0.018333333333333333,401,499.91
1281,60,117.16666666666667,10064.0,240,0.018333333333333333,405,502.28
1291,60,126.73333333333333,10664.0,240,0.016666666666666666,411,503.72
1301,60,136.58333333333334,11264.0,240,0.0,412,504.59
1311,60,146.58333333333334,11864.0,240,0.0,412,504.59
1321,60,156.58333333333334,12464.0,240,0.0,412,504.59
1331,60,166.58333333333334,13064.0,240,0.0,412,504.59
1341,60,176.35,13664.0,240,0.0016666666666666668,415,504.73
1351,60,186.35,14264.0,240,0.0,416,504.73
1361,60,196.35,14864.0,240,0.0,416,504.73
1371,60,206.35,15464.0,240,0.0,416,504.73
1381,60,216.35,16064.0,240,0.0,416,504.73
1391,60,226.35,16664.0,240,0.0,416,504.73
1401,60,236.35,17264.0,240,0.0,416,504.73
1411,60,246.35,17864.0,240,0.0,416,504.73
1421,60,256.35,18464.0,240,0.0,416,504.73
1431,60,266.35,19064.0,240,0.0,416,504.73
1441,60,276.35,19664.0,240,0.0,416,504.73
1451,60,286.35,20264.0,240,0.0,416,504.73
1461,60,296.35,20864.0,240,0.0,416,504.73
