step,total_vehicles,avg_waiting_time,total_delay,throughput,avg_speed,total_stops,total_co2_g
501,16,6.625,1163.0,30,0.7749999999999999,8,174.29
511,14,8.214285714285714,571.0,34,0.7928571428571427,4,113.75
521,15,6.8,536.0,35,0.88,5,109.49
531,13,7.230769230769231,403.0,37,0.8538461538461538,6,87.39
541,13,6.461538461538462,473.0,37,0.9230769230769231,6,102.24
551,14,6.0,547.0,37,0.8785714285714287,6,117.67
561,13,6.461538461538462,430.0,39,0.8615384615384615,6,94.83
571,13,7.615384615384615,533.0,39,0.7582417582417583,6,107.85
581,13,10.0,643.0,39,0.5384615384615384,11,118.58
591,16,11.25,753.0,39,0.5375000000000001,11,128.19
601,16,14.4375,866.0,39,0.625,11,140.53
611,15,19.4,637.0,41,0.49333333333333335,7,114.44
621,14,25.428571428571427,644.0,42,0.4428571428571429,11,105.03
631,14,30.5,638.0,43,0.43571428571428567,14,93.96
641,14,25.785714285714285,744.0,43,0.8929183886071457,20,105.74
651,14,21.357142857142858,864.0,43,0.7428571428571428,23,121.92
661,15,16.466666666666665,879.0,44,0.7997014925373134,23,117.63
671,17,11.588235294117647,999.0,44,0.8588235294117648,24,134.02
681,17,8.647058823529411,1128.0,44,0.9411764705882353,24,153.84
691,18,6.111111111111111,1258.0,44,0.9166666666666666,24,174.49
701,18,5.388888888888889,1388.0,44,0.9444444444444444,24,196.1
711,18,5.388888888888889,1519.0,44,0.9444444444444444,24,217.86
721,17,4.352941176470588,1450.0,45,0.9377736056828743,23,220.25
731,17,5.0588235294117645,907.0,49,0.7251084608223701,21,161.7
741,14,5.857142857142857,476.0,53,0.7806749212919304,6,102.32
751,13,7.153846153846154,453.0,54,0.7692307692307693,6,97.56
761,13,7.846153846153846,533.0,54,0.8461538461538461,6,111.02
771,12,9.333333333333334,501.0,55,0.8333333333333334,6,104.98
781,12,10.166666666666666,478.0,56,0.7916666666666666,6,98.21
791,13,10.153846153846153,580.0,56,0.8153846153846154,6,111.1
801,14,11.5,690.0,56,0.6785714285714286,6,122.83
811,15,13.333333333333334,800.0,56,0.64,7,134.57
821,14,17.571428571428573,799.0,57,0.6428571428571429,7,127.34
831,13,22.76923076923077,586.0,59,0.6,3,100.97
841,13,26.846153846153847,577.0,60,0.46923076923076923,4,91.6
851,13,31.384615384615383,672.0,60,0.48461538461538467,5,99.45
861,13,26.615384615384617,778.0,60,0.8771291208791211,5,111.52
871,14,21.642857142857142,888.0,60,0.7309766763848397,9,124.69
881,13,20.846153846153847,798.0,62,0.7923076923076923,12,100.81
891,13,18.53846153846154,899.0,62,0.8455869409176539,12,114.75
901,13,16.23076923076923,1009.0,62,0.8461538461538461,12,128.82
911,14,13.928571428571429,1119.0,62,0.8285714285714285,12,143.14
921,14,13.928571428571429,1235.0,62,0.8571428571428571,12,158.41
931,15,13.0,1361.0,62,0.86,12,174.3
941,14,12.142857142857142,1263.0,63,0.8477820381969454,11,171.64
951,12,14.083333333333334,643.0,67,0.8028321470482834,8,109.29
961,11,13.727272727272727,468.0,69,0.8818181818181817,4,84.34
971,11,11.909090909090908,538.0,69,1.0,4,97.83
981,10,11.1,509.0,70,1.0,4,92.3
991,12,7.583333333333333,579.0,70,0.8666666666666667,4,105.18
1001,11,6.454545454545454,555.0,71,1.0,4,99.75
1011,11,4.909090909090909,636.0,71,0.9090909090909091,4,113.44
1021,11,4.0,620.0,72,0.8454545454545456,4,106.96
1031,11,3.727272727272727,594.0,73,0.7545454545454546,4,99.28
